"id","from","to","date","distance","countryside","device","suburban","age"
"471","Nyíregyháza","Újfehértó","2015-01-24T14:00:00","22","countryside","ios","true","24"
"472","Nyíregyháza","Újfehértó","2015-01-24T18:00:00","22","countryside","ios","true","23"
"473","Nyíregyháza","Záhony","2015-01-24T18:00:00","69","countryside","ios","false","33"
"474","Budapest","Dunakeszi","2015-01-24T12:00:00","11","budapest","ios","true","23"
"475","Budapest","Veresegyház","2015-01-24T20:00:00","34","budapest","ios","true","28"
"476","Budapest","Abony","2015-01-24T12:00:00","95","budapest","ios","false","36"
"477","Budapest","Dunakeszi","2015-01-24T15:00:00","17","budapest","ios","true","19"
"478","Budapest","Budapest","2015-01-24T19:00:00","8","budapest","ios","true","24"
"479","Budapest","Budapest","2015-01-24T20:00:00","8","budapest","ios","true","29"
"480","Budapest","Budapest","2015-01-24T10:00:00","10","budapest","android","true","30"
"481","Budapest","Budapest","2015-01-24T11:00:00","10","budapest","ios","true","19"
"482","Budapest","Budapest","2015-01-24T11:00:00","10","budapest","ios","true","30"
"483","Budapest","Budapest","2015-01-24T22:00:00","10","budapest","ios","true","18"
"484","Budapest","Pilis","2015-01-24T22:00:00","58","budapest","ios","false","28"
"485","Budapest","Vecsés","2015-01-24T18:00:00","17","budapest","ios","true","26"
"486","Budapest","Szolnok","2015-01-24T03:00:00","105","budapest","ios","false","31"
"487","Budapest","Szolnok","2015-01-24T19:00:00","105","budapest","ios","false","25"
"488","Budapest","Vác","2015-01-24T09:00:00","41","budapest","android","true","36"
"489","Budapest","Vác","2015-01-24T10:00:00","41","budapest","ios","true","35"
"490","Ózd","Mohács","2015-01-24T21:00:00","371","countryside","ios","false","22"
"491","Budapest","Budapest","2015-01-24T12:00:00","9","budapest","ios","true","31"
"492","Budapest","Celldömölk","2015-01-24T15:00:00","195","budapest","ios","false","33"
"493","Budapest","Győr","2015-01-24T09:00:00","125","budapest","ios","false","25"
"494","Budapest","Győr","2015-01-24T21:00:00","125","budapest","ios","false","35"
"495","Pécel","Budapest","2015-01-24T10:00:00","23","budapest","ios","true","24"
"496","Pécel","Budapest","2015-01-24T12:00:00","35","budapest","ios","true","32"
"497","Budapest","Dunaharaszti","2015-01-24T21:00:00","6","budapest","android","true","36"
"498","Gyál","Budapest","2015-01-24T12:00:00","17","budapest","android","true","26"
"499","Gyál","Budapest","2015-01-24T06:00:00","15","budapest","android","true","30"
