"id","from","to","date","distance","countryside","device","suburban","age"
"565","Szolnok","Szeged","2015-01-24T10:00:00","125","countryside","ios","false","23"
"566","Szombathely","Ajka","2015-01-24T15:00:00","86","countryside","ios","false","26"
"567","Szombathely","Budapest","2015-01-24T11:00:00","227","budapest","ios","false","23"
"568","Szombathely","Kőszeg","2015-01-24T16:00:00","17","countryside","ios","true","18"
"569","Szombathely","Som","2015-01-24T19:00:00","237","countryside","ios","false","18"
"570","Szombathely","Rátót","2015-01-24T11:00:00","48","countryside","ios","true","21"
"571","Taktaharkány","Szerencs","2015-01-24T15:00:00","12","countryside","ios","true","23"
"572","Tapolca","Badacsonytomaj","2015-01-24T09:00:00","14","countryside","ios","true","29"
"573","Tárnok","Budapest","2015-01-24T06:00:00","26","budapest","ios","true","25"
"574","Tárnok","Budapest","2015-01-24T22:00:00","26","budapest","ios","true","33"
"575","Tárnok","Szentgotthárd","2015-01-24T14:00:00","197","countryside","ios","false","24"
"576","Tata","Csopak","2015-01-24T06:00:00","169","countryside","ios","false","26"
"577","Tata","Budapest","2015-01-24T01:00:00","69","budapest","android","false","29"
"578","Tatabánya","Budapest","2015-01-24T15:00:00","67","budapest","ios","false","34"
"579","Tolna","Szekszárd","2015-01-24T15:00:00","7","countryside","ios","true","26"
"580","Újfehértó","Nyíregyháza","2015-01-24T11:00:00","22","countryside","ios","true","28"
"581","Vác","Diósjenő","2015-01-24T11:00:00","24","countryside","ios","true","37"
"582","Vác","Budapest","2015-01-24T20:00:00","42","budapest","android","true","19"
"583","Vác","Budapest","2015-01-24T22:00:00","42","budapest","android","true","35"
"584","Vác","Szob","2015-01-24T09:00:00","29","countryside","ios","true","35"
"585","Velence","Érd","2015-01-24T12:00:00","35","countryside","android","true","29"
"586","Velence","Székesfehérvár","2015-01-24T20:00:00","24","countryside","ios","true","23"
"587","Velence","Tárnok","2015-01-24T17:00:00","31","countryside","ios","true","26"
"588","Veresegyház","Budapest","2015-01-24T16:00:00","31","budapest","ios","true","32"
"589","Veszprém","Budapest","2015-01-24T07:00:00","119","budapest","ios","false","31"
"590","Veszprém","Budapest","2015-01-24T11:00:00","119","budapest","ios","false","33"
"591","Veszprém","Budapest","2015-01-24T06:00:00","125","budapest","ios","false","29"
"592","Veszprém","Budapest","2015-01-24T15:00:00","125","budapest","android","false","37"
"593","Veszprém","Budapest","2015-01-24T16:00:00","125","budapest","ios","false","29"
"594","Zalaszentmihály","Csömödér","2015-01-24T12:00:00","39","countryside","ios","true","24"
"595","Budapest","Budapest","2015-01-24T21:00:00","9","budapest","ios","true","27"
"596","Budapest","Monor","2015-01-24T12:00:00","38","budapest","ios","true","34"
"597","Budapest","Budapest","2015-01-24T21:00:00","7","budapest","ios","true","18"
"598","Zsujta","Gönc","2015-01-24T21:00:00","4","countryside","ios","true","23"
"599","Zsujta","Nagytőke","2015-01-24T21:00:00","264","countryside","android","false","22"
"600","Abony","Szolnok","2015-01-24T08:00:00","11","countryside","ios","true","24"
"601","Abony","Szolnok","2015-01-24T16:00:00","11","countryside","ios","true","36"
"602","Ács","Győr","2015-01-24T18:00:00","35","countryside","ios","true","20"
"603","Gárdony","Budapest","2015-01-24T17:00:00","47","budapest","ios","true","32"
"604","Ajak","Kisvárda","2015-01-24T16:00:00","6","countryside","ios","true","19"
"605","Ajak","Nyíregyháza","2015-01-24T08:00:00","41","countryside","ios","true","29"
"606","Ajak","Nyíregyháza","2015-01-24T18:00:00","41","countryside","ios","true","36"
"607","Budaörs","Halásztelek","2015-01-24T01:00:00","4","countryside","ios","true","21"
"608","Budaörs","Érd","2015-01-24T09:00:00","14","countryside","android","true","35"
"609","Budaörs","Érd","2015-01-24T10:00:00","14","countryside","android","true","26"
"610","Albertirsa","Monor","2015-01-24T15:00:00","19","countryside","ios","true","34"
"611","Albertirsa","Szolnok","2015-01-24T07:00:00","47","countryside","ios","true","30"
"612","Albertirsa","Szolnok","2015-01-24T09:00:00","47","countryside","ios","true","27"
"613","Göd","Dunakeszi","2015-01-24T15:00:00","14","countryside","ios","true","30"
"614","Göd","Budapest","2015-01-24T17:00:00","20","budapest","ios","true","35"
"615","Göd","Dunakeszi","2015-01-24T17:00:00","15","countryside","ios","true","33"
"616","Göd","Vác","2015-01-24T14:00:00","14","countryside","ios","true","35"
"617","Aszód","Gyöngyös","2015-01-24T23:00:00","46","countryside","android","true","22"
"618","Aszód","Csömör","2015-01-24T03:00:00","44","countryside","ios","true","34"
"619","Bácsalmás","Budapest","2015-01-24T19:00:00","216","budapest","ios","false","26"
"620","Bag","Hatvan","2015-01-24T21:00:00","21","countryside","android","true","23"
"621","Balatonvilágos","Budapest","2015-01-24T09:00:00","94","budapest","ios","false","34"
"622","Balatonvilágos","Budapest","2015-01-24T14:00:00","94","budapest","android","false","34"
"623","Balatonvilágos","Budapest","2015-01-24T16:00:00","94","budapest","android","false","27"
"624","Balatonalmádi","Balatonfüred","2015-01-24T18:00:00","11","countryside","ios","true","28"
"625","Balatonalmádi","Budapest","2015-01-24T19:00:00","117","budapest","ios","false","32"
"626","Balatonboglár","Budapest","2015-01-24T15:00:00","141","budapest","ios","false","19"
"627","Balatonboglár","Budapest","2015-01-24T18:00:00","141","budapest","ios","false","21"
"628","Balatonfüred","Balatonalmádi","2015-01-24T18:00:00","11","countryside","android","true","29"
"629","Balatonfüred","Budapest","2015-01-24T04:00:00","127","budapest","ios","false","23"
"630","Balatonfüred","Budapest","2015-01-24T14:00:00","127","budapest","ios","false","32"
"631","Balatonlelle","Fonyód","2015-01-24T15:00:00","17","countryside","android","true","30"
"632","Balatonlelle","Budapest","2015-01-24T15:00:00","134","budapest","ios","false","22"
"633","Balatonlelle","Székesfehérvár","2015-01-24T10:00:00","83","countryside","ios","false","25"
"634","Balatonkeresztúr","Budapest","2015-01-24T17:00:00","164","budapest","ios","false","38"
"635","Diósd","Diósd","2015-01-24T07:00:00","6","countryside","ios","true","24"
"636","Diósd","Diósd","2015-01-24T23:00:00","6","countryside","android","true","29"
"637","Diósd","Budapest","2015-01-24T20:00:00","16","budapest","ios","true","29"
"638","Diósd","Diósd","2015-01-24T18:00:00","7","countryside","ios","true","34"
"639","Diósd","Budapest","2015-01-24T11:00:00","12","budapest","ios","true","32"
"640","Diósd","Budapest","2015-01-24T13:00:00","12","budapest","ios","true","34"
"641","Diósd","Budapest","2015-01-24T16:00:00","12","budapest","ios","true","37"
"642","Békéscsaba","Budapest","2015-01-24T11:00:00","220","budapest","ios","false","36"
"643","Békéscsaba","Budapest","2015-01-24T13:00:00","220","budapest","ios","false","34"
"644","Békéscsaba","Budapest","2015-01-24T15:00:00","220","budapest","ios","false","23"
"645","Békéscsaba","Budapest","2015-01-24T11:00:00","220","budapest","ios","false","23"
"646","Békéscsaba","Budapest","2015-01-24T08:00:00","224","budapest","ios","false","32"
"647","Békéscsaba","Budapest","2015-01-24T11:00:00","224","budapest","ios","false","31"
"648","Békéscsaba","Budapest","2015-01-24T12:00:00","224","budapest","ios","false","28"
"649","Békéscsaba","Gyula","2015-01-24T15:00:00","20","countryside","ios","true","22"
"650","Békéscsaba","Budapest","2015-01-24T10:00:00","220","budapest","ios","false","33"
"651","Békéscsaba","Lőkösháza","2015-01-24T22:00:00","35","countryside","ios","true","38"
"652","Békéscsaba","Sárospatak","2015-01-24T12:00:00","234","countryside","ios","false","23"
"653","Békéscsaba","Szeged","2015-01-24T23:00:00","108","countryside","ios","false","23"
"654","Békéscsaba","Budapest","2015-01-24T11:00:00","220","budapest","ios","false","38"
"655","Berettyóújfalu","Budapest","2015-01-24T19:00:00","230","budapest","ios","false","27"
"656","Berettyóújfalu","Budapest","2015-01-24T20:00:00","230","budapest","android","false","30"
"657","Berettyóújfalu","Törökszentmiklós","2015-01-24T10:00:00","96","countryside","ios","false","34"
"658","Biatorbágy","Bicske","2015-01-24T15:00:00","17","countryside","ios","true","27"
"659","Biatorbágy","Budapest","2015-01-24T16:00:00","19","budapest","android","true","30"
"660","Biatorbágy","Budapest","2015-01-24T19:00:00","22","budapest","ios","true","30"
"661","Biatorbágy","Budapest","2015-01-24T13:00:00","19","budapest","android","true","30"
"662","Biatorbágy","Győr","2015-01-24T15:00:00","104","countryside","ios","false","23"
"663","Biatorbágy","Komárom","2015-01-24T08:00:00","76","countryside","ios","false","20"
"664","Biatorbágy","Komárom","2015-01-24T12:00:00","76","countryside","ios","false","32"
"665","Biatorbágy","Tatabánya","2015-01-24T15:00:00","46","countryside","ios","true","31"
"666","Bicsérd","Som","2015-01-24T09:00:00","15","countryside","android","true","31"
"667","Bicsérd","Som","2015-01-24T13:00:00","15","countryside","ios","true","25"
"668","Bicsérd","Som","2015-01-24T15:00:00","15","countryside","android","true","30"
"669","Bicsérd","Som","2015-01-24T17:00:00","15","countryside","ios","true","22"
"670","Bicsérd","Som","2015-01-24T19:00:00","15","countryside","ios","true","28"
"671","Bicske","Budaörs","2015-01-24T16:00:00","34","countryside","android","true","35"
"672","Bicske","Győr","2015-01-24T18:00:00","89","countryside","ios","false","36"
"673","Biharnagybajom","Kecskemét","2015-01-24T11:00:00","172","countryside","ios","false","35"
"674","Budapest","Balatonboglár","2015-01-24T13:00:00","147","budapest","android","false","29"
"675","Budapest","Debrecen","2015-01-24T07:00:00","238","budapest","ios","false","23"
"676","Budapest","Isaszeg","2015-01-24T17:00:00","35","budapest","ios","true","26"
"677","Budapest","Győr","2015-01-24T04:00:00","125","budapest","ios","false","27"
"678","Budapest","Győr","2015-01-24T14:00:00","125","budapest","ios","false","28"
"679","Budapest","Kaposvár","2015-01-24T06:00:00","189","budapest","ios","false","31"
"680","Budapest","Kaposvár","2015-01-24T16:00:00","189","budapest","ios","false","21"
"681","Budapest","Kiskunfélegyháza","2015-01-24T17:00:00","124","budapest","ios","false","26"
"682","Budapest","Lőkösháza","2015-01-24T14:00:00","274","budapest","ios","false","33"
"683","Budapest","Bükkszentkereszt","2015-01-24T14:00:00","185","budapest","ios","false","19"
"684","Budapest","Monor","2015-01-24T16:00:00","42","budapest","ios","true","38"
"685","Budapest","Nyírbátor","2015-01-24T16:00:00","266","budapest","android","false","37"
"686","Budapest","Nyírbátor","2015-01-24T18:00:00","266","budapest","ios","false","26"
"687","Budapest","Pilis","2015-01-24T10:00:00","61","budapest","ios","false","37"
"688","Budapest","Siófok","2015-01-24T08:00:00","110","budapest","ios","false","30"
"689","Budapest","Szob","2015-01-24T14:00:00","50","budapest","ios","false","26"
"690","Budapest","Sződliget","2015-01-24T09:00:00","34","budapest","ios","true","25"
"691","Budapest","Sződliget","2015-01-24T14:00:00","34","budapest","ios","true","33"
"692","Budapest","Tárnok","2015-01-24T21:00:00","31","budapest","android","true","33"
"693","Budapest","Vác","2015-01-24T09:00:00","44","budapest","ios","true","20"
"694","Budapest","Vác","2015-01-24T20:00:00","44","budapest","ios","true","24"
"695","Budapest","Verőce","2015-01-24T00:00:00","56","budapest","ios","false","20"
"696","Budapest","Verőce","2015-01-24T08:00:00","56","budapest","ios","false","25"
"697","Budapest","Verőce","2015-01-24T16:00:00","56","budapest","ios","false","34"
"698","Diósd","Diósd","2015-01-24T19:00:00","6","countryside","ios","true","18"
"699","Diósd","Martonvásár","2015-01-24T22:00:00","26","countryside","ios","true","23"
"700","Budaörs","Sülysáp","2015-01-24T13:00:00","56","countryside","ios","false","23"
"701","Budaörs","Bicske","2015-01-24T22:00:00","35","countryside","ios","true","21"
"702","Budaörs","Budapest","2015-01-24T04:00:00","14","budapest","android","true","31"
"703","Vecsés","Monor","2015-01-24T20:00:00","22","countryside","android","true","30"
"704","Budapest","Balatonkeresztúr","2015-01-24T03:00:00","170","budapest","ios","false","19"
"705","Budapest","Balatonkeresztúr","2015-01-24T13:00:00","170","budapest","ios","false","25"
"706","Budapest","Balatonkeresztúr","2015-01-24T14:00:00","170","budapest","ios","false","35"
"707","Budapest","Dunaújváros","2015-01-24T09:00:00","73","budapest","ios","false","26"
"708","Budapest","Dunaújváros","2015-01-24T13:00:00","73","budapest","ios","false","24"
"709","Budapest","Mezőkövesd","2015-01-24T14:00:00","133","budapest","ios","false","29"
"710","Budapest","Monorierdő","2015-01-24T16:00:00","47","budapest","ios","true","36"
"711","Budapest","Piliscsaba","2015-01-24T09:00:00","22","budapest","ios","true","32"
"712","Budapest","Piliscsaba","2015-01-24T16:00:00","22","budapest","ios","true","26"
"713","Budapest","Pécel","2015-01-24T16:00:00","34","budapest","ios","true","36"
"714","Budapest","Som","2015-01-24T08:00:00","203","budapest","ios","false","27"
"715","Budapest","Balatonfüred","2015-01-24T09:00:00","127","budapest","ios","false","24"
"716","Budapest","Celldömölk","2015-01-24T19:00:00","193","budapest","android","false","36"
"717","Budapest","Pákozd","2015-01-24T21:00:00","62","budapest","ios","false","32"
"718","Budapest","Győr","2015-01-24T11:00:00","123","budapest","ios","false","22"
"719","Budapest","Lepsény","2015-01-24T01:00:00","88","budapest","android","false","19"
"720","Budapest","Százhalombatta","2015-01-24T02:00:00","32","budapest","android","true","19"
"721","Budapest","Százhalombatta","2015-01-24T13:00:00","32","budapest","ios","true","24"
"722","Budapest","Székesfehérvár","2015-01-24T11:00:00","69","budapest","ios","false","20"
"723","Budapest","Székesfehérvár","2015-01-24T14:00:00","69","budapest","ios","false","27"
"724","Budapest","Székesfehérvár","2015-01-24T15:00:00","69","budapest","ios","false","36"
"725","Budapest","Tapolca","2015-01-24T00:00:00","171","budapest","ios","false","26"
"726","Budapest","Tapolca","2015-01-24T10:00:00","171","budapest","ios","false","31"
"727","Budapest","Velence","2015-01-24T14:00:00","48","budapest","ios","true","24"
"728","Budapest","Baja","2015-01-24T02:00:00","185","budapest","android","false","27"
"729","Budapest","Baja","2015-01-24T22:00:00","185","budapest","ios","false","28"
"730","Budapest","Bicske","2015-01-24T16:00:00","37","budapest","ios","true","21"
"731","Budapest","Győr","2015-01-24T09:00:00","123","budapest","ios","false","28"
"732","Budapest","Sárvár","2015-01-24T10:00:00","210","budapest","ios","false","33"
"733","Budapest","Székesfehérvár","2015-01-24T14:00:00","69","budapest","ios","false","28"
"734","Budapest","Székesfehérvár","2015-01-24T18:00:00","71","budapest","ios","false","23"
"735","Budapest","Bicske","2015-01-24T16:00:00","35","budapest","ios","true","32"
"736","Budapest","Debrecen","2015-01-24T19:00:00","242","budapest","ios","false","29"
"737","Budapest","Érd","2015-01-24T19:00:00","14","budapest","ios","true","33"
"738","Budapest","Érd","2015-01-24T19:00:00","14","budapest","ios","true","27"
"739","Budapest","Veszprém","2015-01-24T07:00:00","120","budapest","ios","false","30"
"740","Budapest","Békéscsaba","2015-01-24T17:00:00","220","budapest","ios","false","22"
"741","Budapest","Celldömölk","2015-01-24T19:00:00","195","budapest","ios","false","33"
"742","Budapest","Debrecen","2015-01-24T13:00:00","236","budapest","ios","false","37"
"743","Budapest","Eger","2015-01-24T22:00:00","134","budapest","ios","false","24"
"744","Budapest","Isaszeg","2015-01-24T02:00:00","32","budapest","ios","true","37"
"745","Budapest","Isaszeg","2015-01-24T03:00:00","32","budapest","ios","true","19"
"746","Budapest","Isaszeg","2015-01-24T11:00:00","32","budapest","ios","true","33"
"747","Budapest","Isaszeg","2015-01-24T12:00:00","32","budapest","ios","true","21"
"748","Budapest","Győr","2015-01-24T19:00:00","126","budapest","ios","false","28"
"749","Budapest","Hatvan","2015-01-24T11:00:00","57","budapest","ios","false","26"
"750","Budapest","Hatvan","2015-01-24T17:00:00","57","budapest","ios","false","29"
"751","Budapest","Maglód","2015-01-24T00:00:00","28","budapest","ios","true","27"
"752","Budapest","Mezőkövesd","2015-01-24T07:00:00","131","budapest","ios","false","29"
"753","Budapest","Mezőkövesd","2015-01-24T23:00:00","131","budapest","ios","false","31"
"754","Budapest","Miskolc","2015-01-24T13:00:00","181","budapest","android","false","27"
"755","Budapest","Miskolc","2015-01-24T15:00:00","181","budapest","android","false","33"
"756","Budapest","Nagykáta","2015-01-24T13:00:00","62","budapest","ios","false","27"
"757","Budapest","Nyékládháza","2015-01-24T11:00:00","164","budapest","ios","false","32"
"758","Budapest","Nagytarcsa","2015-01-24T12:00:00","17","budapest","ios","true","33"
"759","Budapest","Szolnok","2015-01-24T09:00:00","102","budapest","ios","false","23"
"760","Budapest","Szombathely","2015-01-24T12:00:00","228","budapest","ios","false","26"
"761","Budapest","Szombathely","2015-01-24T18:00:00","228","budapest","ios","false","30"
"762","Budapest","Isaszeg","2015-01-24T09:00:00","32","budapest","ios","true","28"
"763","Budapest","Győr","2015-01-24T11:00:00","126","budapest","android","false","24"
"764","Budapest","Győr","2015-01-24T14:00:00","126","budapest","ios","false","20"
"765","Budapest","Isaszeg","2015-01-24T16:00:00","32","budapest","ios","true","35"
"766","Budapest","Budapest","2015-01-24T14:00:00","9","budapest","ios","true","28"
"767","Budapest","Maglód","2015-01-24T17:00:00","28","budapest","ios","true","23"
"768","Budapest","Szeghalom","2015-01-24T06:00:00","205","budapest","android","false","35"
"769","Budapest","Szeghalom","2015-01-24T14:00:00","205","budapest","android","false","36"
"770","Budapest","Szolnok","2015-01-24T17:00:00","102","budapest","ios","false","30"
"771","Budapest","Taktaharkány","2015-01-24T11:00:00","186","budapest","ios","false","30"
"772","Budapest","Taktaharkány","2015-01-24T15:00:00","186","budapest","ios","false","32"
"773","Budapest","Tápiószecső","2015-01-24T08:00:00","48","budapest","ios","true","27"
"774","Budapest","Abony","2015-01-24T15:00:00","95","budapest","ios","false","31"
"775","Budapest","Cegléd","2015-01-24T19:00:00","82","budapest","ios","false","22"
"776","Budapest","Debrecen","2015-01-24T13:00:00","236","budapest","ios","false","28"
"777","Budapest","Debrecen","2015-01-24T14:00:00","236","budapest","ios","false","25"
"778","Budapest","Debrecen","2015-01-24T18:00:00","236","budapest","android","false","36"
"779","Budapest","Dunakeszi","2015-01-24T03:00:00","11","budapest","android","true","23"
"780","Budapest","Dunakeszi","2015-01-24T05:00:00","11","budapest","ios","true","37"
"781","Budapest","Hajdúszoboszló","2015-01-24T15:00:00","244","budapest","ios","false","36"
"782","Budapest","Visegrád","2015-01-24T08:00:00","59","budapest","ios","false","26"
"783","Budapest","Nyíregyháza","2015-01-24T15:00:00","239","budapest","ios","false","25"
"784","Budapest","Nyíregyháza","2015-01-24T18:00:00","239","budapest","ios","false","22"
"785","Budapest","Nyíregyháza","2015-01-24T15:00:00","235","budapest","ios","false","33"
"786","Budapest","Szeged","2015-01-24T19:00:00","166","budapest","ios","false","18"
"787","Budapest","Vecsés","2015-01-24T05:00:00","17","budapest","ios","true","35"
"788","Budapest","Vác","2015-01-24T11:00:00","41","budapest","ios","true","35"
"789","Budapest","Veresegyház","2015-01-24T08:00:00","34","budapest","ios","true","27"
"790","Budapest","Ceglédbercel","2015-01-24T00:00:00","74","budapest","ios","false","24"
"791","Budapest","Ceglédbercel","2015-01-24T02:00:00","74","budapest","android","false","21"
"792","Budapest","Dunakeszi","2015-01-24T03:00:00","17","budapest","ios","true","25"
"793","Budapest","Kisvárda","2015-01-24T06:00:00","282","budapest","ios","false","22"
"794","Budapest","Budapest","2015-01-24T18:00:00","8","budapest","ios","true","19"
"795","Budapest","Balatonfüred","2015-01-24T09:00:00","127","budapest","android","false","38"
"796","Budapest","Füle","2015-01-24T00:00:00","87","budapest","ios","false","26"
"797","Budapest","Bükkszentkereszt","2015-01-24T05:00:00","186","budapest","android","false","25"
"798","Budapest","Siófok","2015-01-24T06:00:00","108","budapest","ios","false","18"
"799","Budapest","Siófok","2015-01-24T11:00:00","108","budapest","ios","false","30"
"800","Budapest","Szár","2015-01-24T08:00:00","49","budapest","ios","true","21"
"801","Budapest","Székesfehérvár","2015-01-24T16:00:00","69","budapest","ios","false","28"
"802","Budapest","Tárnok","2015-01-24T13:00:00","29","budapest","android","true","29"
"803","Budapest","Tárnok","2015-01-24T14:00:00","29","budapest","ios","true","34"
"804","Budapest","Tárnok","2015-01-24T21:00:00","29","budapest","ios","true","33"
"805","Budapest","Délegyháza","2015-01-24T08:00:00","31","budapest","ios","true","34"
"806","Budapest","Dunavarsány","2015-01-24T07:00:00","29","budapest","ios","true","24"
"807","Budapest","Dunavarsány","2015-01-24T11:00:00","29","budapest","android","true","28"
"808","Budapest","Kiskőrös","2015-01-24T11:00:00","127","budapest","android","false","33"
"809","Budapest","Kiskőrös","2015-01-24T15:00:00","127","budapest","ios","false","19"
"810","Budapest","Taksony","2015-01-24T09:00:00","17","budapest","android","true","30"
"811","Budapest","Biatorbágy","2015-01-24T09:00:00","19","budapest","android","true","22"
"812","Budapest","Halásztelek","2015-01-24T05:00:00","8","budapest","android","true","27"
"813","Budapest","Halásztelek","2015-01-24T08:00:00","8","budapest","android","true","20"
"814","Budapest","Budapest","2015-01-24T05:00:00","4","budapest","ios","true","33"
"815","Budapest","Kiskunmajsa","2015-01-24T08:00:00","139","budapest","ios","false","23"
"816","Budapest","Kiskunmajsa","2015-01-24T10:00:00","139","budapest","android","false","21"
"817","Budapest","Kiskunmajsa","2015-01-24T11:00:00","139","budapest","android","false","32"
"818","Budapest","Komárom","2015-01-24T09:00:00","93","budapest","ios","false","19"
"819","Budapest","Mosonmagyaróvár","2015-01-24T10:00:00","159","budapest","ios","false","25"
"820","Budapest","Som","2015-01-24T20:00:00","197","budapest","ios","false","30"
"821","Budapest","Siófok","2015-01-24T06:00:00","106","budapest","ios","false","31"
"822","Budapest","Sopron","2015-01-24T08:00:00","209","budapest","ios","false","38"
"823","Budapest","Sopron","2015-01-24T13:00:00","209","budapest","android","false","23"
"824","Budapest","Sopron","2015-01-24T15:00:00","209","budapest","ios","false","27"
"825","Budapest","Székesfehérvár","2015-01-24T16:00:00","67","budapest","ios","false","31"
"826","Budapest","Tatabánya","2015-01-24T19:00:00","63","budapest","ios","false","32"
"827","Budapest","Velence","2015-01-24T20:00:00","46","budapest","ios","true","29"
"828","Budapest","Veszprém","2015-01-24T17:00:00","120","budapest","ios","false","25"
"829","Budapest","Dévaványa","2015-01-24T14:00:00","187","budapest","android","false","20"
"830","Budapest","Encs","2015-01-24T11:00:00","211","budapest","ios","false","19"
"831","Budapest","Füzesabony","2015-01-24T16:00:00","115","budapest","ios","false","34"
"832","Budapest","Galgagyörk","2015-01-24T08:00:00","54","budapest","ios","false","30"
"833","Budapest","Isaszeg","2015-01-24T02:00:00","32","budapest","android","true","31"
"834","Budapest","Isaszeg","2015-01-24T06:00:00","32","budapest","ios","true","29"
"835","Budapest","Isaszeg","2015-01-24T17:00:00","32","budapest","android","true","35"
"836","Budapest","Győr","2015-01-24T03:00:00","126","budapest","ios","false","29"
"837","Budapest","Győr","2015-01-24T11:00:00","126","budapest","ios","false","32"
"838","Budapest","Gyula","2015-01-24T09:00:00","235","budapest","android","false","29"
"839","Budapest","Kisszállás","2015-01-24T17:00:00","164","budapest","ios","false","29"
"840","Budapest","Mezőnyárád","2015-01-24T16:00:00","142","budapest","android","false","33"
"841","Budapest","Miskolc","2015-01-24T16:00:00","181","budapest","ios","false","18"
"842","Budapest","Pécel","2015-01-24T09:00:00","23","budapest","android","true","27"
"843","Budapest","Som","2015-01-24T17:00:00","203","budapest","android","false","38"
"844","Budapest","Szentgotthárd","2015-01-24T21:00:00","216","budapest","ios","false","38"
"845","Budapest","Szombathely","2015-01-24T16:00:00","228","budapest","ios","false","22"
"846","Budapest","Szombathely","2015-01-24T23:00:00","228","budapest","ios","false","34"
"847","Budapest","Taktaharkány","2015-01-24T15:00:00","186","budapest","ios","false","27"
"848","Budapest","Debrecen","2015-01-24T13:00:00","236","budapest","android","false","35"
"849","Budapest","Debrecen","2015-01-24T17:00:00","236","budapest","ios","false","34"
"850","Budapest","Debrecen","2015-01-24T18:00:00","236","budapest","android","false","28"
"851","Budapest","Debrecen","2015-01-24T20:00:00","236","budapest","ios","false","35"
"852","Budapest","Dunakeszi","2015-01-24T11:00:00","13","budapest","ios","true","36"
"853","Budapest","Dunakeszi","2015-01-24T15:00:00","17","budapest","ios","true","25"
"854","Budapest","Dunakeszi","2015-01-24T16:00:00","17","budapest","ios","true","21"
"855","Budapest","Dunakeszi","2015-01-24T20:00:00","17","budapest","ios","true","20"
"856","Budapest","Vecsés","2015-01-24T14:00:00","17","budapest","ios","true","21"
"857","Budapest","Budapest","2015-01-24T15:00:00","10","budapest","ios","true","25"
"858","Budapest","Monor","2015-01-24T15:00:00","39","budapest","ios","true","30"
"859","Budapest","Visegrád","2015-01-24T16:00:00","59","budapest","ios","false","29"
"860","Budapest","Nagymaros","2015-01-24T21:00:00","58","budapest","ios","false","21"
"861","Budapest","Nyíregyháza","2015-01-24T12:00:00","239","budapest","android","false","30"
"862","Budapest","Pilis","2015-01-24T16:00:00","58","budapest","android","false","23"
"863","Budapest","Püspökladány","2015-01-24T07:00:00","190","budapest","ios","false","23"
"864","Budapest","Vác","2015-01-24T08:00:00","41","budapest","android","true","27"
"865","Budapest","Vác","2015-01-24T16:00:00","41","budapest","android","true","32"
"866","Budapest","Vác","2015-01-24T19:00:00","41","budapest","ios","true","22"
"867","Budapest","Vecsés","2015-01-24T19:00:00","23","budapest","ios","true","22"
"868","Budapest","Veresegyház","2015-01-24T01:00:00","34","budapest","ios","true","30"
"869","Budapest","Erdőkertes","2015-01-24T17:00:00","36","budapest","ios","true","37"
"870","Budapest","Debrecen","2015-01-24T23:00:00","234","budapest","ios","false","26"
"871","Budapest","Gyál","2015-01-24T11:00:00","16","budapest","ios","true","27"
"872","Budapest","Albertirsa","2015-01-24T16:00:00","66","budapest","android","false","26"
"873","Budapest","Baja","2015-01-24T14:00:00","186","budapest","android","false","27"
"874","Budapest","Balatonfüred","2015-01-24T11:00:00","130","budapest","ios","false","35"
"875","Budapest","Békéscsaba","2015-01-24T00:00:00","225","budapest","ios","false","20"
"876","Budapest","Békéscsaba","2015-01-24T11:00:00","225","budapest","ios","false","32"
"877","Budapest","Csengőd","2015-01-24T11:00:00","125","budapest","android","false","28"
"878","Budapest","Csengőd","2015-01-24T13:00:00","125","budapest","ios","false","25"
"879","Budapest","Debrecen","2015-01-24T03:00:00","238","budapest","android","false","33"
"880","Budapest","Debrecen","2015-01-24T05:00:00","238","budapest","ios","false","29"
"881","Budapest","Debrecen","2015-01-24T06:00:00","238","budapest","ios","false","23"
"882","Budapest","Debrecen","2015-01-24T08:00:00","238","budapest","ios","false","20"
"883","Budapest","Debrecen","2015-01-24T16:00:00","238","budapest","ios","false","22"
"884","Budapest","Debrecen","2015-01-24T22:00:00","238","budapest","ios","false","25"
"885","Budapest","Devecser","2015-01-24T01:00:00","166","budapest","android","false","31"
"886","Budapest","Diósjenő","2015-01-24T11:00:00","68","budapest","ios","false","21"
"887","Budapest","Dunaújváros","2015-01-24T11:00:00","73","budapest","ios","false","25"
"888","Budapest","Eger","2015-01-24T11:00:00","136","budapest","ios","false","36"
"889","Budapest","Eger","2015-01-24T18:00:00","136","budapest","ios","false","37"
"890","Budapest","Veresegyház","2015-01-24T20:00:00","36","budapest","ios","true","28"
"891","Budapest","Vecsés","2015-01-24T08:00:00","20","budapest","ios","true","24"
"892","Budapest","Vecsés","2015-01-24T18:00:00","20","budapest","ios","true","33"
"893","Budapest","Vecsés","2015-01-24T19:00:00","20","budapest","ios","true","21"
"894","Budapest","Fonyód","2015-01-24T01:00:00","159","budapest","ios","false","36"
"895","Budapest","Göd","2015-01-24T11:00:00","33","budapest","ios","true","35"
"896","Budapest","Göd","2015-01-24T12:00:00","23","budapest","ios","true","22"
"897","Budapest","Göd","2015-01-24T12:00:00","33","budapest","android","true","21"
"898","Budapest","Isaszeg","2015-01-24T09:00:00","35","budapest","ios","true","29"
"899","Budapest","Isaszeg","2015-01-24T18:00:00","35","budapest","ios","true","33"
"900","Budapest","Győr","2015-01-24T08:00:00","125","budapest","ios","false","29"
"901","Budapest","Győr","2015-01-24T10:00:00","125","budapest","android","false","32"
